
----------- test 1 -----------------

exact exp( 20.00)=4.8516519541e+08,  your_exp=4.8516519541e+08,  abs_err=1.78814e-07,  rel_err=3.6856298848e-16
exact exp( 19.00)=1.7848230096e+08,  your_exp=1.7848230096e+08,  abs_err=2.98023e-08,  rel_err=1.6697634570e-16
exact exp( 18.00)=6.5659969137e+07,  your_exp=6.5659969137e+07,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( 17.00)=2.4154952754e+07,  your_exp=2.4154952754e+07,  abs_err=1.11759e-08,  rel_err=4.6267409460e-16
exact exp( 16.00)=8.8861105205e+06,  your_exp=8.8861105205e+06,  abs_err=1.86265e-09,  rel_err=2.0961309731e-16
exact exp( 15.00)=3.2690173725e+06,  your_exp=3.2690173725e+06,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( 14.00)=1.2026042842e+06,  your_exp=1.2026042842e+06,  abs_err=4.65661e-10,  rel_err=3.8721073377e-16
exact exp( 13.00)=4.4241339201e+05,  your_exp=4.4241339201e+05,  abs_err=5.82077e-11,  rel_err=1.3156848767e-16
exact exp( 12.00)=1.6275479142e+05,  your_exp=1.6275479142e+05,  abs_err=1.45519e-10,  rel_err=8.9410057311e-16
exact exp( 11.00)=5.9874141715e+04,  your_exp=5.9874141715e+04,  abs_err=2.91038e-11,  rel_err=4.8608346814e-16
exact exp( 10.00)=2.2026465795e+04,  your_exp=2.2026465795e+04,  abs_err=4.72937e-11,  rel_err=2.1471317702e-15
exact exp(  9.00)=8.1030839276e+03,  your_exp=8.1030839276e+03,  abs_err=5.18412e-11,  rel_err=6.3977120889e-15
exact exp(  8.00)=2.9809579870e+03,  your_exp=2.9809579870e+03,  abs_err=5.18412e-11,  rel_err=1.7390784515e-14
exact exp(  7.00)=1.0966331584e+03,  your_exp=1.0966331584e+03,  abs_err=4.59295e-11,  rel_err=4.1882266724e-14
exact exp(  6.00)=4.0342879349e+02,  your_exp=4.0342879349e+02,  abs_err=3.68914e-11,  rel_err=9.1444585602e-14
exact exp(  5.00)=1.4841315910e+02,  your_exp=1.4841315910e+02,  abs_err=2.52385e-11,  rel_err=1.7005552693e-13
exact exp(  4.00)=5.4598150033e+01,  your_exp=5.4598150033e+01,  abs_err=8.56630e-11,  rel_err=1.5689731643e-12
exact exp(  3.00)=2.0085536923e+01,  your_exp=2.0085536923e+01,  abs_err=3.20846e-11,  rel_err=1.5973960445e-12
exact exp(  2.00)=7.3890560989e+00,  your_exp=7.3890560989e+00,  abs_err=4.57323e-11,  rel_err=6.1891946980e-12
exact exp(  1.00)=2.7182818285e+00,  your_exp=2.7182818284e+00,  abs_err=1.22857e-11,  rel_err=4.5196667475e-12
exact exp(  0.00)=1.0000000000e+00,  your_exp=1.0000000000e+00,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( -1.00)=3.6787944117e-01,  your_exp=3.6787944117e-01,  abs_err=1.66273e-12,  rel_err=4.5197565472e-12
exact exp( -2.00)=1.3533528324e-01,  your_exp=1.3533528324e-01,  abs_err=8.37608e-13,  rel_err=6.1891307344e-12
exact exp( -3.00)=4.9787068368e-02,  your_exp=4.9787068368e-02,  abs_err=7.95267e-14,  rel_err=1.5973357267e-12
exact exp( -4.00)=1.8315638889e-02,  your_exp=1.8315638889e-02,  abs_err=2.87409e-14,  rel_err=1.5691998911e-12
exact exp( -5.00)=6.7379469991e-03,  your_exp=6.7379469991e-03,  abs_err=1.14578e-15,  rel_err=1.7004955011e-13
exact exp( -6.00)=2.4787521767e-03,  your_exp=2.4787521767e-03,  abs_err=2.26815e-16,  rel_err=9.1503739914e-14
exact exp( -7.00)=9.1188196555e-04,  your_exp=9.1188196555e-04,  abs_err=3.82723e-17,  rel_err=4.1970713463e-14
exact exp( -8.00)=3.3546262790e-04,  your_exp=3.3546262790e-04,  abs_err=5.80048e-18,  rel_err=1.7290992022e-14
exact exp( -9.00)=1.2340980409e-04,  your_exp=1.2340980409e-04,  abs_err=7.86047e-19,  rel_err=6.3694013686e-15
exact exp(-10.00)=4.5399929762e-05,  your_exp=4.5399929762e-05,  abs_err=9.48677e-20,  rel_err=2.0895999309e-15
exact exp(-11.00)=1.6701700790e-05,  your_exp=1.6701700790e-05,  abs_err=1.01644e-20,  rel_err=6.0858444866e-16
exact exp(-12.00)=6.1442123533e-06,  your_exp=6.1442123533e-06,  abs_err=5.92923e-21,  rel_err=9.6501069459e-16
exact exp(-13.00)=2.2603294070e-06,  your_exp=2.2603294070e-06,  abs_err=4.23516e-22,  rel_err=1.8736935967e-16
exact exp(-14.00)=8.3152871910e-07,  your_exp=8.3152871910e-07,  abs_err=3.17637e-22,  rel_err=3.8199204420e-16
exact exp(-15.00)=3.0590232050e-07,  your_exp=3.0590232050e-07,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp(-16.00)=1.1253517472e-07,  your_exp=1.1253517472e-07,  abs_err=2.64698e-23,  rel_err=2.3521338699e-16
exact exp(-17.00)=4.1399377188e-08,  your_exp=4.1399377188e-08,  abs_err=1.98523e-23,  rel_err=4.7953220676e-16
exact exp(-18.00)=1.5229979745e-08,  your_exp=1.5229979745e-08,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp(-19.00)=5.6027964375e-09,  your_exp=5.6027964375e-09,  abs_err=8.27181e-25,  rel_err=1.4763709904e-16
exact exp(-20.00)=2.0611536224e-09,  your_exp=2.0611536224e-09,  abs_err=8.27181e-25,  rel_err=4.0131924353e-16

----------- test 2 -----------------

exact exp( 50.50)=8.548134287298e+21,  your_exp=8.548134287298e+21,  abs_err=8.38861e+06,  rel_err=9.8133788240e-16
exact exp( 48.50)=1.156864174916e+21,  your_exp=1.156864174916e+21,  abs_err=3.93216e+05,  rel_err=3.3989815618e-16
exact exp( 46.50)=1.565645407786e+20,  your_exp=1.565645407786e+20,  abs_err=1.63840e+05,  rel_err=1.0464693933e-15
exact exp( 44.50)=2.118870647108e+19,  your_exp=2.118870647108e+19,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( 42.50)=2.867579591681e+18,  your_exp=2.867579591681e+18,  abs_err=1.02400e+03,  rel_err=3.5709558088e-16
exact exp( 40.50)=3.880846962436e+17,  your_exp=3.880846962436e+17,  abs_err=1.92000e+02,  rel_err=4.9473736496e-16
exact exp( 38.50)=5.252155228593e+16,  your_exp=5.252155228593e+16,  abs_err=2.40000e+01,  rel_err=4.5695526799e-16
exact exp( 36.50)=7.108019154642e+15,  your_exp=7.108019154642e+15,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( 34.50)=9.619657855448e+14,  your_exp=9.619657855448e+14,  abs_err=3.75000e-01,  rel_err=3.8982675438e-16
exact exp( 32.50)=1.301879120506e+14,  your_exp=1.301879120506e+14,  abs_err=4.68750e-02,  rel_err=3.6005646962e-16
exact exp( 30.50)=1.761901795136e+13,  your_exp=1.761901795136e+13,  abs_err=1.17188e-02,  rel_err=6.6511936320e-16
exact exp( 28.50)=2.384474784798e+12,  your_exp=2.384474784798e+12,  abs_err=4.88281e-04,  rel_err=2.0477517863e-16
exact exp( 26.50)=3.227035703712e+11,  your_exp=3.227035703712e+11,  abs_err=6.10352e-05,  rel_err=1.8913691032e-16
exact exp( 24.50)=4.367317909765e+10,  your_exp=4.367317909765e+10,  abs_err=3.05176e-05,  rel_err=6.9877162038e-16
exact exp( 22.50)=5.910522063023e+09,  your_exp=5.910522063023e+09,  abs_err=2.86102e-06,  rel_err=4.8405587843e-16
exact exp( 20.50)=7.999021774755e+08,  your_exp=7.999021774755e+08,  abs_err=4.76837e-07,  rel_err=5.9611934013e-16
exact exp( 18.50)=1.082549877502e+08,  your_exp=1.082549877502e+08,  abs_err=0.00000e+00,  rel_err=0.0000000000e+00
exact exp( 16.50)=1.465071942895e+07,  your_exp=1.465071942895e+07,  abs_err=9.31323e-09,  rel_err=6.3568385098e-16
exact exp( 14.50)=1.982759263538e+06,  your_exp=1.982759263538e+06,  abs_err=6.98492e-10,  rel_err=3.5228277270e-16
exact exp( 12.50)=2.683372865209e+05,  your_exp=2.683372865209e+05,  abs_err=1.16415e-10,  rel_err=4.3383952836e-16
exact exp( 10.50)=3.631550267425e+04,  your_exp=3.631550267425e+04,  abs_err=1.45519e-11,  rel_err=4.0070807663e-16
